occupation,avg_annual_growth,2019,2023,growth_2019_2023
Sailors and marine oilers,-2.631578947368421,19.0,17.0,-10.526315789473683
"Ushers, lobby attendants, and ticket takers",-2.631578947368421,38.0,34.0,-10.526315789473683
"Hairdressers, hairstylists, and cosmetologists",-2.6774595267745953,803.0,717.0,-10.709838107098381
Advertising and promotions managers,-2.727272727272727,55.0,49.0,-10.909090909090908
Dietitians and nutritionists,-2.734375,128.0,114.0,-10.9375
Furniture finishers,-2.7777777777777777,18.0,16.0,-11.11111111111111
Waiters and waitresses,-2.8581943081452406,2038.0,1805.0,-11.432777232580962
Radio and telecommunications equipment installers and repairers,-2.8625954198473282,131.0,116.0,-11.450381679389313
Computer programmers,-2.8634361233480177,454.0,402.0,-11.45374449339207
Detectives and criminal investigators,-2.8963414634146343,164.0,145.0,-11.585365853658537
First-line supervisors of office and administrative support workers,-2.909647779479326,1306.0,1154.0,-11.638591117917304
Structural metal fabricators and fitters,-3.0,25.0,22.0,-12.0
Bartenders,-3.0172413793103448,464.0,408.0,-12.068965517241379
Logging workers,-3.0303030303030303,66.0,58.0,-12.121212121212121
"First-line supervisors of mechanics, installers, and repairers",-3.0330882352941178,272.0,239.0,-12.132352941176471
Electrical and electronics engineers,-3.070175438596491,285.0,250.0,-12.280701754385964
Retail salespersons,-3.0917874396135265,3105.0,2721.0,-12.367149758454106
Septic tank servicers and sewer pipe cleaners,-3.125,8.0,7.0,-12.5
Lodging managers,-3.2407407407407405,162.0,141.0,-12.962962962962962
Telecommunications line installers and repairers,-3.260869565217391,184.0,160.0,-13.043478260869565
Childcare workers,-3.290025146689019,1193.0,1036.0,-13.160100586756077
Food preparation workers,-3.3827618164967563,1079.0,933.0,-13.531047265987025
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",-3.4090909090909087,44.0,38.0,-13.636363636363635
"Court, municipal, and license clerks",-3.421052631578948,95.0,82.0,-13.684210526315791
"Cement masons, concrete finishers, and terrazzo workers",-3.4615384615384617,65.0,56.0,-13.846153846153847
"Switchboard operators, including answering service",-3.571428571428571,21.0,18.0,-14.285714285714285
"Postal service mail sorters, processors, and processing machine operators",-3.618421052631579,76.0,65.0,-14.473684210526317
"Farming, fishing, and forestry occupations",-3.654844290657439,1156.0,987.0,-14.619377162629757
Payroll and timekeeping clerks,-3.7096774193548385,155.0,132.0,-14.838709677419354
Credit counselors and loan officers,-3.722084367245657,403.0,343.0,-14.888337468982629
Editors,-3.741496598639456,147.0,125.0,-14.965986394557824
Licensed practical and licensed vocational nurses,-3.7481804949053856,687.0,584.0,-14.992721979621543
"Baggage porters, bellhops, and concierges",-3.804347826086957,92.0,78.0,-15.217391304347828
